L CaS(30),L FG(37),R FG(37),L IPL(40),R SupraMarginal(40),R MTG(37),L SupraMarginal(22),R PCC(23),R IPL(40),L PCU(7),R PCU(23),L PCC(23),R MFG(9),R SFG(8),L STG(48),L MFG(9),R ACC(32),R TP(38),L (para)Hipp(20),R MPFG(10),L MPFG(10)
1092.2,1120.26,1134.01,1031.18,1029.61,1021.56,1046.3,1100.76,1159.56,1124.45,1060.24,1114.67,1040.02,1064.98,1052.34,991.18,1067.21,1132.33,1083.66,902.75,960.4
1093.06,1122.63,1135.25,1032.91,1030.5,1022.25,1045.73,1098.1,1159.62,1126.11,1057.46,1109.8,1040.72,1066.08,1052.45,991.59,1067.44,1136.25,1085.64,903.91,962.93
1092.33,1120.97,1134.75,1032.26,1029.91,1021.67,1046.63,1096.08,1159.14,1125.22,1056.9,1108.23,1040.77,1066.48,1052.64,993.65,1067.83,1133.58,1083.74,901.73,959.82
1092.24,1121.87,1134.45,1031.9,1030.37,1022,1046.4,1098.44,1158.68,1126.87,1058.59,1109.93,1039.75,1066.5,1054.07,993.22,1067.92,1134.99,1084.21,904.62,962.09
1092.81,1120.62,1136.3,1032.44,1030.78,1023.85,1047.67,1098.23,1158.75,1129.25,1057.75,1113.1,1040.54,1064.11,1054.29,991.86,1067.68,1136.21,1085.18,901.56,959.76
1092.94,1120.91,1134.04,1031.97,1031.91,1023.28,1048.5,1099.96,1159.96,1128.97,1058.9,1113.18,1041.79,1064.92,1052.02,993.31,1068.99,1134.59,1083.99,903.86,960.95
1094.17,1121.78,1134.47,1033.57,1030.7,1021.92,1046.9,1099.24,1159.34,1129,1059.94,1112.73,1041.08,1064.58,1052.71,992.26,1066.58,1136.8,1084.3,902.27,960.31
1092.76,1120.9,1134.48,1033.12,1029.65,1022.57,1046.97,1100.05,1159.03,1126.81,1059.49,1111.48,1041.1,1065.81,1052.44,992.24,1067.45,1128.95,1084.09,903.57,962.05
1093.05,1122.12,1135.86,1031.41,1028.85,1022.68,1047.14,1100.16,1157.55,1126.32,1059.76,1114.87,1041.51,1064.82,1053.23,992.53,1067.95,1137.14,1085.14,904.47,962.21
1094.18,1121.29,1134.46,1032.42,1030.53,1022.97,1046,1098.64,1160.93,1125.38,1059.4,1111.06,1040.75,1067.23,1052.97,991.73,1068.68,1136.45,1084.11,904.89,961.42
1092.88,1120.82,1133.97,1032.59,1029.06,1019.69,1047.14,1098.33,1159.05,1127.5,1058.66,1109.52,1040,1067.69,1055.26,991.73,1067.43,1135.69,1083.77,902.98,961.45
1094.23,1121.39,1135.65,1031.94,1030.08,1021.9,1048.64,1100.67,1160.01,1127.68,1061.25,1113.79,1040.71,1066.2,1055.9,993.14,1068.17,1137.09,1083.97,904.34,962.52
1094.56,1120.93,1134.28,1033.12,1030.99,1022.26,1047.87,1101.17,1160.26,1128.01,1061.53,1114.05,1043.55,1067.25,1054.94,994.42,1067.82,1131.83,1084.44,905.1,961.53
