L CaS(30),L FG(37),R FG(37),L IPL(40),R SupraMarginal(40),R MTG(37),L SupraMarginal(22),R PCC(23),R IPL(40),L PCU(7),R PCU(23),L PCC(23),R MFG(9),R SFG(8),L STG(48),L MFG(9),R ACC(32),R TP(38),L (para)Hipp(20),R MPFG(10),L MPFG(10)
1092.42,1119.2,1135.6,1031.56,1029.31,1022.2,1047.8,1096.82,1160.46,1123.52,1054.75,1105.29,1037.56,1062.28,1051.91,989.47,1063.26,1132.26,1082.86,897.65,958.04
1091.37,1119.1,1133.84,1032.63,1028.99,1022.44,1046.69,1096.54,1160.42,1121.27,1056.38,1109.62,1036.92,1061.6,1054.22,988.01,1064.55,1131.6,1083.32,898.02,958.07
1093.3,1121.78,1137.47,1032.6,1031.35,1023.78,1047.72,1098.9,1159.84,1123.25,1060.44,1108.83,1039.53,1063.81,1057.87,992.03,1067.23,1134.23,1086.25,902.59,962.09
1095.88,1122.11,1136.32,1034.1,1031.66,1025.42,1047.68,1101.65,1162.02,1127.97,1061.41,1114.19,1041.03,1066.16,1058.21,993.82,1067.38,1134.58,1086.32,904.96,961.73
1097.82,1120.54,1136.64,1033.78,1029.66,1024.84,1048.84,1101.15,1162.4,1130.1,1062.67,1111.74,1041.18,1065.9,1056.58,993.54,1068.99,1136.62,1087.04,904.87,961.8
1092.71,1118.45,1134.51,1033.81,1028.86,1022.27,1046.41,1101.14,1162.37,1128.46,1059.15,1113.97,1039.57,1066.64,1053.67,992.24,1066.93,1129.63,1082.93,903.33,960.67
1091.14,1120.27,1135.61,1033.22,1029.86,1022.64,1048,1098.38,1161.72,1125.39,1058.68,1109.16,1039.44,1065.06,1055.05,990.82,1065.49,1133.15,1084,901.09,960.83
1093.21,1121.41,1135.42,1032.75,1030.36,1022.16,1048.52,1100.2,1159.82,1126.09,1059.58,1111.78,1040.26,1065.6,1056.21,991.77,1067.57,1136.65,1086.48,902.47,961.84
1094.37,1121.73,1135.88,1033.71,1028.99,1022.81,1049.27,1100.94,1160.23,1125.96,1060.55,1110.26,1041.08,1064.3,1056.93,991.56,1068.45,1134.23,1085.19,903.83,962.78
1095.53,1121.65,1135.74,1034.35,1029.19,1023.97,1049.23,1099.78,1160.54,1128.67,1059.73,1113.33,1040.74,1065.41,1054.92,993.76,1068.83,1133.09,1086.18,905.21,962.77
1098.18,1122.29,1136.89,1032.38,1030.31,1025.64,1048.12,1101.26,1160.35,1130.28,1060.22,1112.09,1040.61,1065.23,1055.42,993.94,1069.01,1132.91,1086.25,904.56,962.13
1094.71,1121.08,1135.5,1033.45,1028.72,1024.04,1046.8,1102.98,1160.2,1130.2,1061.27,1114.39,1039.91,1063.9,1053.18,992.79,1068.26,1132.99,1086.04,902.09,962.36
1093.47,1121.54,1136.54,1032.91,1028.87,1023.58,1046.9,1100.24,1159.54,1127.99,1058.57,1108.91,1039.99,1064.86,1055.25,992.78,1068.26,1131.19,1085.85,903.54,961.51
1089.96,1119.8,1135.2,1031.86,1029.53,1022.79,1047.03,1099,1158.79,1127.01,1059.4,1112.19,1039.67,1063.06,1055.53,991.02,1066.43,1131.72,1084.4,902.02,959.05
1090.73,1120.2,1134.14,1032.04,1028.06,1022.24,1047.93,1099.11,1159.05,1126.01,1059.61,1108.65,1039.79,1062.66,1050.55,990.88,1066.17,1133.16,1085.68,903.59,959.98
1092.03,1120.59,1134.95,1031.63,1028.38,1021.67,1047.73,1100.11,1159.24,1125.52,1058.78,1111.77,1040.4,1063.85,1052.41,991.93,1065.49,1132.89,1084.85,901.55,958.6
1092.06,1120.1,1133.71,1031.14,1028.05,1021.47,1047.7,1100.67,1158.12,1125.07,1059,1109.28,1039.81,1062.5,1054.17,991.53,1067,1133.19,1084.4,902.1,958.96
1091.97,1119.09,1134.13,1031.53,1028.55,1021.81,1048.39,1099.87,1158.93,1125.17,1059.72,1112.13,1039.51,1064.08,1052.3,992.13,1068.49,1132.34,1083.6,903.46,961.62
1093.09,1118.21,1134.43,1032.54,1029.29,1021.8,1049.17,1101.52,1159.31,1127.71,1061.06,1111.85,1041.06,1063.65,1053.27,992.82,1067.02,1127.77,1083.96,903.61,961.08
1094.24,1120.05,1133.72,1033.04,1028.69,1021.19,1046.61,1102.03,1159.1,1127.69,1060.85,1114.18,1041.32,1063.37,1055.17,992.58,1067.86,1130.35,1083.75,903.47,960.59
1093.36,1119.22,1133.86,1031.71,1027.81,1021.24,1046.97,1101.52,1159.23,1125.78,1059.45,1112.87,1040,1063.3,1054.12,991.95,1067.67,1131.02,1082.26,901.62,958.62
1093.44,1119.37,1135.17,1032.48,1027.66,1021.2,1047.71,1100.49,1159.37,1127.9,1060.21,1114.34,1039.66,1062.54,1052.25,991.29,1067.01,1132.45,1082.51,901.49,958.46
1096.01,1119.42,1135.19,1031.89,1026.35,1021.49,1047.34,1099.12,1157.17,1125.6,1059.92,1108.8,1040.4,1061.32,1052.88,989.69,1067.83,1131.13,1084.87,904.01,960.78
1097.02,1119.4,1134.89,1033,1028,1020.05,1047.88,1101.15,1158.32,1126.87,1062.27,1112.11,1039.56,1063.51,1052.74,990.82,1068.89,1127.99,1082.12,903.29,961.35
1095.66,1120.37,1133.89,1030.99,1028.43,1020.3,1048.69,1100.96,1156.27,1123.52,1059,1109.16,1041.42,1062.26,1052.32,991.09,1067.99,1132.74,1082.48,901.86,960.37
1093.29,1120.25,1134.48,1033.01,1028.12,1020.59,1047.27,1100.95,1157.03,1122.95,1059.71,1112.34,1041.66,1065.55,1053.18,992.17,1068.91,1129.39,1082.73,901.64,959.86
1095.66,1121.41,1135.13,1032.33,1029.62,1024.37,1048.78,1100.66,1160.26,1128.23,1058.3,1108.54,1044.35,1068.08,1054.96,993.82,1069.15,1133.6,1083.7,903.44,960.27
1097.61,1120.45,1133.53,1032.65,1029.66,1022.77,1047.39,1101.44,1159.75,1128.85,1062.57,1112.77,1041.94,1066.42,1054.02,994.17,1068.94,1133.53,1084.23,903.81,959.19
1096.01,1120.03,1134.57,1031.72,1028.6,1021.75,1047.62,1102.76,1159.29,1127.59,1062.35,1111.7,1042.18,1065.82,1053.68,993.31,1068.48,1133.41,1083.92,903.7,959.75
1094.41,1119.58,1133.67,1032.56,1029.3,1022.04,1047.76,1099.35,1159.49,1129.07,1059.67,1111.52,1040.73,1063.68,1052.52,992.22,1067.53,1130.68,1083.05,901.79,959.17
1093.63,1120.51,1133.8,1031.77,1028.42,1020.18,1047.5,1099.66,1157.91,1126.76,1058.69,1107.58,1040.78,1062.97,1053.92,989.57,1067.22,1128.68,1081.62,902.48,960.34
1094.5,1120.11,1134.45,1031.88,1027.38,1019.91,1047.18,1100.19,1156.76,1126.17,1059.39,1109.11,1039.98,1061.53,1050.81,990.05,1065.59,1130.96,1081.35,900.93,958.69
1093.11,1120.12,1135.12,1031.25,1027.68,1021.71,1048.22,1098.86,1155.31,1123.04,1058.86,1107.71,1041.23,1062.72,1053.26,990.62,1066.77,1134.79,1083.08,905.03,960.35
1097.66,1120.9,1134.28,1031.54,1029.21,1022.71,1048.34,1101.77,1156.62,1128.04,1062.28,1110.84,1041.35,1063.91,1054.28,990.81,1067.35,1132.13,1083.98,903.03,958.85
1096.29,1121.57,1135.38,1033.72,1030.3,1022.81,1048.99,1099.58,1158.39,1127.1,1059.56,1109.23,1041.74,1065.59,1053.91,991.56,1069.72,1134.65,1085.84,904.13,961.07
1095.01,1119.91,1134.27,1030.99,1028.68,1022.41,1048.17,1099.17,1156.93,1126.8,1058.38,1109.84,1043.01,1065.24,1055.61,992.75,1067.27,1131.3,1082.7,902.96,960.06
1092.97,1120.62,1133.48,1031.51,1028.81,1020.56,1048.21,1098.57,1158.18,1125.22,1057.92,1107.93,1042.22,1064.22,1055.85,992.96,1066.8,1132.1,1083.98,900.27,958.29
1095.52,1121.41,1135.8,1034.32,1030.06,1023.8,1048.09,1099.19,1159.88,1129.22,1060.91,1109.96,1041.8,1064.67,1058.42,992.1,1068.12,1134.08,1084.63,903.8,960.27
1099.84,1122.26,1135.71,1034.65,1030.16,1024.22,1048.5,1102.52,1160.55,1133.41,1061.95,1111.23,1044.35,1067.11,1060.54,992.97,1069.93,1131.85,1085.25,905.59,962.01
1094.73,1122.39,1134.49,1033.15,1030.39,1021.9,1048.47,1100.3,1157.72,1130.54,1060.7,1111.47,1041.4,1065.03,1057.68,992.96,1068.52,1133.1,1084.11,901.07,958.91
1091.06,1119.56,1134.22,1032.62,1029.82,1021.14,1047.39,1098.63,1157.75,1126.94,1057.66,1109.3,1042,1066.07,1055.77,994.09,1068.08,1133.52,1081.9,903.71,961.34
1092.8,1119.07,1132.36,1032.27,1028.64,1020.32,1049.21,1099.76,1158.23,1123.9,1060.05,1110.94,1042.41,1066.21,1054.03,992.85,1066.77,1130.87,1083.02,900.61,958.94
1094.72,1120.76,1133.22,1033.51,1028.52,1019.35,1047.94,1100.24,1157.87,1125.61,1059.31,1108.63,1043.48,1066.18,1055.24,993.75,1067.3,1133.57,1083.21,903.39,960.84
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,average,,,,,,,,,,,,,,,,,,,
,1134.34,,,,,,,,,,,,,,,,,,,
,1133.88,,,,,,,,,,,,,,,,,,,
,1134.84,,,,,,,,,,,,,,,,,,,
,1133.95,,,,,,,,,,,,,,,,,,,
,1136.36,,,,,,,,,,,,,,,,,,,
,1135.6,,,,,,,,,,,,,,,,,,,
,1134.91,,,,,,,,,,,,,,,,,,,
,1136.75,,,,,,,,,,,,,,,,,,,
,1135.64,,,,,,,,,,,,,,,,,,,
,1134.17,,,,,,,,,,,,,,,,,,,
,1135.52,,,,,,,,,,,,,,,,,,,
,1136.37,,,,,,,,,,,,,,,,,,,
,1135.02,,,,,,,,,,,,,,,,,,,
,1136.13,,,,,,,,,,,,,,,,,,,
,1134.82,,,,,,,,,,,,,,,,,,,
,1133.54,,,,,,,,,,,,,,,,,,,
,1133.4,,,,,,,,,,,,,,,,,,,
,1133.88,,,,,,,,,,,,,,,,,,,
,1135.67,,,,,,,,,,,,,,,,,,,
,1136.58,,,,,,,,,,,,,,,,,,,
,1135.54,,,,,,,,,,,,,,,,,,,
,1135.42,,,,,,,,,,,,,,,,,,,
,1134.92,,,,,,,,,,,,,,,,,,,
,1134.41,,,,,,,,,,,,,,,,,,,
,1135.73,,,,,,,,,,,,,,,,,,,
,1136.41,,,,,,,,,,,,,,,,,,,
,1134.92,,,,,,,,,,,,,,,,,,,
,1135.11,,,,,,,,,,,,,,,,,,,
,1135.01,,,,,,,,,,,,,,,,,,,
,1134.02,,,,,,,,,,,,,,,,,,,
,1134.01,,,,,,,,,,,,,,,,,,,
,1135.25,,,,,,,,,,,,,,,,,,,
,1134.75,,,,,,,,,,,,,,,,,,,
,1134.45,,,,,,,,,,,,,,,,,,,
,1136.3,,,,,,,,,,,,,,,,,,,
,1134.04,,,,,,,,,,,,,,,,,,,
,1134.47,,,,,,,,,,,,,,,,,,,
,1134.48,,,,,,,,,,,,,,,,,,,
,1135.86,,,,,,,,,,,,,,,,,,,
,1134.46,,,,,,,,,,,,,,,,,,,
,1133.97,,,,,,,,,,,,,,,,,,,
,1135.65,,,,,,,,,,,,,,,,,,,
,1134.28,,,,,,,,,,,,,,,,,,,
,1135.28,,,,,,,,,,,,,,,,,,,
,1136.46,,,,,,,,,,,,,,,,,,,
,1135.89,,,,,,,,,,,,,,,,,,,
,1134.52,,,,,,,,,,,,,,,,,,,
,1135.01,,,,,,,,,,,,,,,,,,,
,1135.35,,,,,,,,,,,,,,,,,,,
,1135.31,,,,,,,,,,,,,,,,,,,
,1134.92,,,,,,,,,,,,,,,,,,,
,1136.39,,,,,,,,,,,,,,,,,,,
,1136.52,,,,,,,,,,,,,,,,,,,
,1134.31,,,,,,,,,,,,,,,,,,,
,1135.89,,,,,,,,,,,,,,,,,,,
,1137.75,,,,,,,,,,,,,,,,,,,
,1137.5,,,,,,,,,,,,,,,,,,,
,1138.42,,,,,,,,,,,,,,,,,,,
,1135.88,,,,,,,,,,,,,,,,,,,
,1136.73,,,,,,,,,,,,,,,,,,,
,1135.02,,,,,,,,,,,,,,,,,,,
,1133.79,,,,,,,,,,,,,,,,,,,
,1134.08,,,,,,,,,,,,,,,,,,,
,1133.37,,,,,,,,,,,,,,,,,,,
,1134.39,,,,,,,,,,,,,,,,,,,
,1135.78,,,,,,,,,,,,,,,,,,,
,1133.82,,,,,,,,,,,,,,,,,,,
,1134.46,,,,,,,,,,,,,,,,,,,
,1134.71,,,,,,,,,,,,,,,,,,,
,1136.72,,,,,,,,,,,,,,,,,,,
,1135.71,,,,,,,,,,,,,,,,,,,
,1135.63,,,,,,,,,,,,,,,,,,,
,1136.11,,,,,,,,,,,,,,,,,,,
,1138.65,,,,,,,,,,,,,,,,,,,
,1138.02,,,,,,,,,,,,,,,,,,,
,1137.86,,,,,,,,,,,,,,,,,,,
,1137.18,,,,,,,,,,,,,,,,,,,
,1137,,,,,,,,,,,,,,,,,,,
,1136.21,,,,,,,,,,,,,,,,,,,
,1136.95,,,,,,,,,,,,,,,,,,,
,1136.97,,,,,,,,,,,,,,,,,,,
,1137.15,,,,,,,,,,,,,,,,,,,
,1136.39,,,,,,,,,,,,,,,,,,,
,1137.62,,,,,,,,,,,,,,,,,,,
,1138.01,,,,,,,,,,,,,,,,,,,
,1137.74,,,,,,,,,,,,,,,,,,,
,1134.94,,,,,,,,,,,,,,,,,,,
,1137.23,,,,,,,,,,,,,,,,,,,
,1136.01,,,,,,,,,,,,,,,,,,,
,1135.57,,,,,,,,,,,,,,,,,,,
,1134.72,,,,,,,,,,,,,,,,,,,
,1133.9,,,,,,,,,,,,,,,,,,,
,1135.25,,,,,,,,,,,,,,,,,,,
,1134.31,,,,,,,,,,,,,,,,,,,
,1135.95,,,,,,,,,,,,,,,,,,,
,1136.95,,,,,,,,,,,,,,,,,,,
,1136.41,,,,,,,,,,,,,,,,,,,
,1136.55,,,,,,,,,,,,,,,,,,,
,1136.74,,,,,,,,,,,,,,,,,,,
,1136.29,,,,,,,,,,,,,,,,,,,
,1137.46,,,,,,,,,,,,,,,,,,,
,1138.83,,,,,,,,,,,,,,,,,,,
,1137.24,,,,,,,,,,,,,,,,,,,
,1138.65,,,,,,,,,,,,,,,,,,,
,1137.59,,,,,,,,,,,,,,,,,,,
,1137.63,,,,,,,,,,,,,,,,,,,
,1135.37,,,,,,,,,,,,,,,,,,,
,1137.75,,,,,,,,,,,,,,,,,,,
,1136.89,,,,,,,,,,,,,,,,,,,
,1137.78,,,,,,,,,,,,,,,,,,,
,1138.36,,,,,,,,,,,,,,,,,,,
,1137.48,,,,,,,,,,,,,,,,,,,
,1138.91,,,,,,,,,,,,,,,,,,,
,1138.81,,,,,,,,,,,,,,,,,,,
,1135.33,,,,,,,,,,,,,,,,,,,
,1136.67,,,,,,,,,,,,,,,,,,,
,1137.09,,,,,,,,,,,,,,,,,,,
,1138.27,,,,,,,,,,,,,,,,,,,
,1136.58,,,,,,,,,,,,,,,,,,,
,1137.33,,,,,,,,,,,,,,,,,,,
,1137.46,,,,,,,,,,,,,,,,,,,
,1135.56,,,,,,,,,,,,,,,,,,,
,1134.76,,,,,,,,,,,,,,,,,,,
,1135.96,,,,,,,,,,,,,,,,,,,
,1136.27,,,,,,,,,,,,,,,,,,,
,1136.13,,,,,,,,,,,,,,,,,,,
,1135.58,,,,,,,,,,,,,,,,,,,
,1134.66,,,,,,,,,,,,,,,,,,,
,1135.7,,,,,,,,,,,,,,,,,,,
,1135.6,,,,,,,,,,,,,,,,,,,
,1133.84,,,,,,,,,,,,,,,,,,,
,1137.47,,,,,,,,,,,,,,,,,,,
,1136.32,,,,,,,,,,,,,,,,,,,
,1136.64,,,,,,,,,,,,,,,,,,,
,1134.51,,,,,,,,,,,,,,,,,,,
,1135.61,,,,,,,,,,,,,,,,,,,
,1135.42,,,,,,,,,,,,,,,,,,,
,1135.88,,,,,,,,,,,,,,,,,,,
,1135.74,,,,,,,,,,,,,,,,,,,
,1136.89,,,,,,,,,,,,,,,,,,,
,1135.5,,,,,,,,,,,,,,,,,,,
,1136.54,,,,,,,,,,,,,,,,,,,
,1135.2,,,,,,,,,,,,,,,,,,,
,1134.14,,,,,,,,,,,,,,,,,,,
,1134.95,,,,,,,,,,,,,,,,,,,
,1133.71,,,,,,,,,,,,,,,,,,,
,1134.13,,,,,,,,,,,,,,,,,,,
,1134.43,,,,,,,,,,,,,,,,,,,
,1133.72,,,,,,,,,,,,,,,,,,,
,1133.86,,,,,,,,,,,,,,,,,,,
,1135.17,,,,,,,,,,,,,,,,,,,
,1135.19,,,,,,,,,,,,,,,,,,,
,1134.89,,,,,,,,,,,,,,,,,,,
,1133.89,,,,,,,,,,,,,,,,,,,
,1134.48,,,,,,,,,,,,,,,,,,,
,1135.13,,,,,,,,,,,,,,,,,,,
,1133.53,,,,,,,,,,,,,,,,,,,
,1134.57,,,,,,,,,,,,,,,,,,,
,1133.67,,,,,,,,,,,,,,,,,,,
,1133.8,,,,,,,,,,,,,,,,,,,
,1134.45,,,,,,,,,,,,,,,,,,,
,1135.12,,,,,,,,,,,,,,,,,,,
,1134.28,,,,,,,,,,,,,,,,,,,
,1135.38,,,,,,,,,,,,,,,,,,,
,1134.27,,,,,,,,,,,,,,,,,,,
,1133.48,,,,,,,,,,,,,,,,,,,
,1135.8,,,,,,,,,,,,,,,,,,,
,1135.71,,,,,,,,,,,,,,,,,,,
,1134.49,,,,,,,,,,,,,,,,,,,
,1134.22,,,,,,,,,,,,,,,,,,,
,1132.36,,,,,,,,,,,,,,,,,,,
,1133.22,,,,,,,,,,,,,,,,,,,
