AVGLCaS(30)
1093.05 
1094.55 
1094.62 
1094.57 
1096.48 
1095.79 
1097.07 
1097.26 
1097.04 
1094.71 
1093.48 
1095.01 
1093.02 
1094.52 
1092.88 
1093.63 
1091.42 
1093.14 
1093.97 
1093.85 
1094.75 
1094.84 
1094.76 
1094.73 
1094.36 
1095.19 
1095.21 
1094.05 
1093.58 
1094.13 
1092.20 
1093.06 
1092.33 
1092.24 
1092.81 
1092.94 
1094.17 
1092.76 
1093.05 
1094.18 
1092.88 
1094.23 
1094.56 
1094.32 
1092.10 
1094.11 
1092.53 
1090.50 
1092.38 
1093.54 
1094.09 
1093.86 
1093.05 
1094.11 
1094.87 
1094.85 
1098.62 
1097.65 
1092.86 
1091.88 
1090.54 
1088.76 
1094.55 
1090.47 
1093.54 
1095.03 
1095.06 
1090.03 
1094.45 
1094.95 
1094.78 
1096.55 
1094.27 
1095.21 
1097.49 
1097.41 
1096.03 
1094.68 
1095.26 
1093.79 
1094.06 
1096.28 
1096.58 
1093.91 
1094.34 
1096.92 
1093.91 
1093.90 
1091.74 
1093.69 
1092.89 
1091.39 
1094.47 
1096.30 
1093.05 
1096.41 
1094.93 
1091.32 
1095.41 
1093.49 
1094.40 
1095.61 
1096.58 
1096.44 
1093.65 
1092.50 
1093.19 
1093.69 
1094.45 
1093.47 
1092.76 
1094.48 
1094.27 
1097.16 
1090.95 
1091.80 
1093.88 
1093.49 
1092.21 
1093.62 
1091.04 
1092.27 
1093.17 
1094.30 
1095.76 
1095.90 
1091.12 
1087.37 
1092.03 
1092.42 
1091.37 
1093.30 
1095.88 
1097.82 
1092.71 
1091.14 
1093.21 
1094.37 
1095.53 
1098.18 
1094.71 
1093.47 
1089.96 
1090.73 
1092.03 
1092.06 
1091.97 
1093.09 
1094.24 
1093.36 
1093.44 
1096.01 
1097.02 
1095.66 
1093.29 
1095.66 
1097.61 
1096.01 
1094.41 
1093.63 
1094.50 
1093.11 
1097.66 
1096.29 
1095.01 
1092.97 
1095.52 
1099.84 
1094.73 
1091.06 
1092.80 
1094.72 
