Msub1,AAL01TC,AAL02TC,AAL03TC,AAL04TC,AAL05TC,AAL06TC,AAL07TC,AAL08TC,AAL09TC,AAL10TC,AAL11TC,AAL12TC,AAL13TC,AAL14TC,AAL15TC,AAL16TC,AAL17TC,AAL18TC,AAL19TC,AAL20TC,AAL20TC,AAL22TC,AAL23TC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.48252,0.34407,-0.053646,0.013767,-0.074097,-0.189023,0.169702,0.419654,-0.186477,-0.39742,0.246179,0.220628,0.564665,0.090948,0.298701,-0.159069,-0.13492,0.412723,-0.178126,-0.078779,-0.239644,-0.063726,-0.098798,0.189453,-0.334174,-0.444688,-0.319447,-0.37435,0.006828,0.516969,-0.499314,-0.628391,-0.285522,0.257779,1.028133,1.286277,0.194975,0.521663,-0.061767,0.269263,0.556527,0.636985,-0.876857,-0.785667,-0.341464,-0.422685,-0.691246,-0.942719,-0.475838,-0.609382,-0.41415,-0.81792,-0.380989,-0.564412,-0.119087,-0.661614,-0.28624,0.591797,-0.644543,-0.575843,0.365749,0.548542,0.43771,0.857913,0.593553,0.114013,-0.062587,-0.258924,-0.434364,-1.062089,-0.2595,-0.131386,0.153793,0.413292,0.200491,0.138309,0.574382,0.556166,-0.236168,0.321795,0.106956,0.097888,0.265146,-0.502917,-0.091222,-0.631261,-0.15386,-1.246177,0.640465,-0.548773
-0.760714,0.286181,0.043534,0.170976,-0.206141,-0.370243,-0.026999,0.740483,-0.05595,-0.578008,0.236669,0.647507,0.515604,0.391226,0.183896,-0.085131,-0.027623,0.745165,-0.40315,-0.388841,-0.170596,-0.279558,0.185424,0.492104,-0.169362,-0.59347,0.132049,-0.378895,-0.048382,0.706004,-0.305083,-0.307541,0.114725,0.055257,0.43274,0.366523,0.293002,0.59309,0.10935,0.405052,1.133293,0.749782,-0.840528,-0.64228,-0.761907,-0.68483,-0.883764,-0.746948,-0.829657,-0.812508,-0.447887,-0.81891,-0.266067,-0.919673,-0.107954,-0.328318,-0.675176,0.238474,-1.300036,-1.028481,0.023312,0.562349,0.440503,0.866489,-0.081106,-0.227198,-0.664089,-0.775657,-1.108437,-1.191,0.540613,0.183634,0.263847,0.423792,0.432558,-0.147913,0.977658,0.674703,-0.15692,0.281264,0.323289,0.230177,0.230051,-0.601088,-0.113401,-0.45073,-0.324774,-1.390488,0.981589,-0.316365
-0.845225,0.392347,-0.009839,0.398253,-0.70494,-0.630218,-0.462092,0.819783,-0.652295,-0.959577,0.034651,0.541765,0.089034,0.233436,-0.708514,-0.625392,0.244557,0.944937,-0.280682,-0.136112,-0.493164,-0.808606,0.022331,0.427798,-0.831921,-1.091709,-0.382535,-0.937315,-0.178242,0.533544,-0.319233,-0.176512,0.021396,0.006927,-0.309085,-0.203422,0.232581,0.389512,0.271379,0.45619,0.583096,0.303376,-0.803811,-0.532873,-0.968628,-0.420329,-0.383508,-0.185895,-0.842818,-0.741164,-0.225616,-0.560299,0.157326,-0.805583,0.224119,0.103854,-0.737793,0.187049,-1.901428,-1.406013,-0.405733,0.513897,0.43568,0.691597,-1.007162,-0.696113,-0.989792,-0.835305,-0.771466,-0.474318,0.707539,0.034555,0.062792,0.001668,0.058691,-0.623372,0.878803,0.484082,-0.159137,0.29899,0.518855,0.249374,-0.396472,-1.02444,-0.011767,-0.317401,-0.88889,-1.452843,1.401083,-0.171958
-0.226534,0.925803,0.487491,0.721934,-0.991144,-0.93964,-0.310384,0.703947,-1.203524,-1.61916,-0.194326,0.063132,-0.486402,-0.155618,-1.24111,-0.989092,0.205193,0.630335,0.543234,0.980665,-0.465359,-0.525011,0.276006,0.478083,-1.020251,-1.022288,-0.610318,-0.864657,-0.173633,0.179635,0.033333,-0.108559,-0.299016,0.074564,-0.665051,-0.703352,0.034346,0.131815,0.425397,0.590896,-0.074358,0.280292,-0.728457,-0.319444,-1.0333,-0.251652,0.044534,0.062615,-0.804644,-0.659571,-0.198889,-0.421907,0.236513,-0.237858,0.250945,0.281652,-0.386177,0.593123,-2.366553,-1.775943,-0.841122,-0.044229,0.090854,0.483784,-1.562346,-1.375782,-1.08607,-0.795531,0.486214,0.620974,0.378275,0.097939,-0.098983,-0.045569,-0.106972,-0.254808,-0.023634,-0.114701,-0.235744,-0.074965,0.339225,0.073088,-1.246543,-1.288179,0.067478,-0.194779,-1.614991,-1.255449,1.394429,0.224273
0.004363,1.214101,0.454719,0.54433,-1.248623,-1.031809,-0.351824,0.175956,-1.76702,-2.121597,-0.851457,-0.77512,-1.033527,-0.777589,-1.533903,-1.168937,-0.314817,0.10468,0.271344,1.03049,-0.331819,-0.130725,-0.05727,0.149872,-1.061277,-0.89952,-0.484581,-0.628991,-0.614554,-0.21428,-0.264565,-0.598565,-0.570578,-0.150395,-0.571639,-0.874684,-0.163884,0.026726,0.264626,0.658596,-0.941292,0.289429,0.103238,0.404699,0.023449,0.494849,0.909907,0.719138,0.177046,0.137539,0.237903,0.147061,0.577542,0.90748,0.157597,0.447025,-0.034807,1.175249,-1.811151,-1.360465,-0.723585,-0.324536,-0.21075,0.332413,-1.588389,-1.424718,-0.728421,-0.413703,0.71982,1.100125,-0.19623,-0.062812,-0.600271,-0.134052,-0.468787,-0.074503,-0.858507,-0.734648,-0.643389,-0.441794,-0.223976,-0.322527,-1.534315,-1.40386,-0.183766,-0.119973,-1.645087,-1.246363,1.040783,0.443024
0.22201,1.191023,0.494241,0.765801,-0.58236,-0.594234,-0.073133,0.229855,-1.1367,-1.819778,-0.850244,-0.723083,-0.672363,-0.612377,-0.894985,-0.749027,-0.515468,0.036041,0.106967,0.72688,0.212138,0.420477,0.381038,0.497875,-0.037145,-0.248707,0.430194,0.074025,-0.428905,0.087783,0.030007,-0.413023,-0.442497,-0.399597,-0.501314,-0.860464,-0.206169,-0.03464,-0.120677,0.42048,-0.912904,0.048538,0.776597,0.843214,0.711465,0.6937,1.218301,0.866288,0.584212,0.591448,0.215733,0.490191,0.740285,1.679406,-0.043882,0.495706,-0.003031,1.090036,-1.333958,-0.755692,-0.842948,-0.455105,-0.638572,-0.21221,-1.283421,-0.882358,-0.590875,-0.451023,0.548552,0.220572,0.100529,0.271931,-0.438664,0.110703,-0.125179,0.108785,-0.811662,-0.858402,-0.593258,-0.366373,-0.364117,-0.310363,-0.569925,-0.891847,-0.28157,-0.006424,-0.788167,-0.641133,0.75664,0.396687
0.189494,1.016027,0.199442,0.623746,-0.192018,-0.560697,0.005611,0.352316,-0.310184,-1.22282,-0.515502,-0.478868,-0.175078,-0.512837,-0.486435,-0.765909,-0.150711,0.479974,0.51733,0.737566,0.180347,0.335916,0.038153,0.070511,-0.075562,-0.651761,0.160402,-0.090661,-0.173331,0.276597,-0.042195,-0.503547,-0.075554,-0.087472,-0.680123,-0.294349,-0.344217,-0.193313,-0.617794,-0.242791,-0.994656,-0.430243,0.934374,0.71667,1.165193,1.082585,1.096145,0.677612,0.947988,0.738564,0.107936,0.339105,0.596614,1.249359,-0.246171,0.348929,0.10863,1.032747,-0.687725,-0.242687,-0.384181,-0.18092,-0.261469,-0.325718,-0.970103,-0.573854,-0.248197,-0.086535,0.588204,-0.023317,0.206474,0.199952,-0.418855,-0.019371,-0.131719,-0.318174,-0.225973,-0.55241,-0.023065,0.195514,0.172352,0.100698,0.150346,-0.820806,-0.337803,-0.143493,-0.469178,-0.883704,0.45649,0.03743
0.246062,0.445509,0.609992,0.661803,-0.172212,-0.288669,0.380843,0.352423,0.104781,-0.43287,-0.07576,-0.183624,0.149667,-0.218537,-0.422634,-0.662751,0.304358,0.524904,0.815859,0.578753,0.059732,-0.012923,0.377427,0.12869,-0.221903,-0.735639,-0.423235,-0.279773,0.229035,0.134211,-0.081574,-0.365346,-0.369817,-0.048646,-0.77382,0.047252,-0.314958,-0.283963,-0.507858,-0.492367,-0.040712,-0.37912,0.312302,0.317053,0.46169,0.834177,0.477036,0.376278,0.372641,0.598325,-0.114848,0.4066,0.678247,1.098168,-0.059449,0.544777,0.049601,0.711648,-0.766716,-0.687868,-0.323657,-0.269487,0.096328,-0.233154,-1.166791,-0.663902,-0.531503,-0.26903,0.493611,-0.02856,0.069553,0.033886,-0.272214,-0.047849,-0.294476,-0.562996,-0.045893,-0.330737,0.229855,0.159622,0.311446,0.301403,0.39679,-0.461857,-0.438992,0.005559,-0.597501,-0.6098,0.220343,0.702461
0.208839,0.1887,0.444497,0.179641,-0.293342,-0.09619,0.142127,-0.07459,-0.038837,-0.256866,-0.344333,-0.541324,-0.329894,-0.48275,-0.323917,-0.589338,-0.002782,-0.024668,0.378818,0.149848,0.039999,-0.047354,0.283243,0.086167,-0.42799,-0.510325,-0.603807,-0.0971,-0.249579,-0.404877,-0.601768,-0.634156,-0.903988,-0.547106,-0.948844,-0.547323,-0.141385,-0.243612,0.265671,-0.18352,0.369033,-0.170508,0.257592,0.657943,0.332384,0.828841,0.665967,0.336326,0.142649,0.421855,0.120492,0.577218,1.038421,1.057036,0.433575,0.539082,0.061947,0.603714,-0.58159,-0.445288,-0.279268,-0.581623,0.064407,-0.286882,-1.166478,-0.758564,-0.334705,-0.115139,0.638058,0.637169,-0.28823,-0.06012,-0.552824,-0.354523,-0.779961,-0.876092,-0.307666,-0.358855,-0.334362,-0.455648,-0.176611,-0.070258,0.382554,-0.249023,-0.320344,0.016844,-0.361273,-0.187539,0.341812,0.936982
0.024044,-0.003801,0.156969,0.016246,-0.626012,-0.06679,0.180845,0.122417,-0.290697,-0.201333,-0.788495,-0.649342,-0.594898,-0.367639,-0.460214,-0.48299,-0.724114,-0.459128,-0.209314,-0.3541,0.217504,0.014617,0.286273,0.299824,-0.468611,-0.193635,-0.695121,-0.162417,-0.684018,-0.435311,-0.633276,-0.43549,-0.909972,-0.854854,-1.003045,-1.150907,-0.134647,-0.220659,0.41518,-0.04798,0.375184,-0.117966,0.484068,0.827267,0.753124,0.725091,0.59812,0.204026,0.302191,0.274666,0.389278,0.621023,0.745677,0.708375,0.368046,0.211241,-0.138558,0.351846,-0.215122,-0.04558,-0.204909,-0.465798,-0.219626,-0.247565,-0.939215,-0.295107,-0.073363,0.11795,0.59725,1.022459,-0.19936,-0.074876,-0.602367,-0.362236,-0.728085,-0.638155,-0.317949,-0.045188,-0.951949,-0.70771,-0.953721,-0.605625,-0.415467,-1.009898,-0.624459,-0.344159,-0.944606,-0.680133,0.26753,0.524278
